Component Name,Manufacturer Name
ASE2-33.000MHZ-ET,Abracon
EN2342QI,Altera
EN6337QI,Altera
EN6360QI,Altera
EN63A0QI,Altera
EPCQL1024F24IN,Altera
L829-1J1T-43,Bel Fuse
CVHD-950-122.88,Crystek
PD-40S,CUI Inc
B530C-13-F,Diodes Inc
DMG2305UX-7,Diodes Inc
MMBT2222A-7-F,Diodes Inc
ECS-3518-500-B-xx,ECS
FA-128 25.0000MB-C,Epson
SG-310SDF 25.0000M-B3,Epson
EG2207,E-Switch
FDV305N,Fairchild Semiconductor
FDV305N_NL,Fairchild Semiconductor
FXMA2102UMX,Fairchild Semiconductor
10033526-N3212LF,FCI Electronics
ICS83054AGILF,IDT
LT1389ACS8-1.25,Linear Technology
LTM4676EY#PBF,Linear Technology
LTM4676IY#PBF,Linear Technology
LTM4677IY#PBF,Linear Technology
154001,Littelfuse
88E1111-B2-CAA1C000,Marvell
88E1111-B2-NDC2C000,Marvell
MAX3378EEUD+,Maxim
MAX811SEUS+T,Maxim
22-23-2021,Molex
472720024,Molex
74754-0101,Molex
RJK0301DPB,Renesas
MECT-110-01-M-D-RA1,Samtec
PCIE-098-02-F-D-TH,Samtec
TSM-105-01-T-DV-TR,Samtec
516FHA000132AAG,Silicon Labs
Si52112-A1-GM2,Silicon Labs
Si52112-B3-GM2,Silicon Labs
Si52112-B5-GM2,Silicon Labs
Si5338B-B03799-GM,Silicon Labs
Si5338B-B03800-GM,Silicon Labs
Si5338C-B03798-GM,Silicon Labs
Si5338Q-B04071-GM,Silicon Labs
TPS3700DDCR,Texas Instruments
SiS435DNT-T1-GE3,Vishay Semiconductor
SL03-GS08CT,Vishay Semiconductor
Si7635DP-T1-GE3,Vishay Semiconductor
SiRA00DP-T1-GE3,Vishay Semiconductor
SiSS23DN-T1-GE3,Vishay Semiconductor
7499111001A,Wuerth Elektronik
150060VS75000,Wuerth Elektronik
613 002 111 21,Wuerth Elektronik
LTM4677EY#PBF,Linear Technology
LTM4677EY#PBF-ES,Linear Technology
